Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-13B,20,4,5,32,32,3328,0.0663125,0.0085462119402204,0.0166252499999999,0.0914839619402204,0.0189515,3.828309977608817,1044.8474714418037,173.04827475570295,260.9587555222665,1.0
Llama2-13B,20,4,5,32,32,3456,0.067395,0.0085462119402204,0.01717525,0.0931164619402204,0.0189515,3.893609977608817,1027.32426283141,173.52001270832557,257.46719001161154,1.0
Llama2-13B,20,4,5,32,32,3584,0.06851,0.0085462119402204,0.01772525,0.0947814619402204,0.0189515,3.960209977608817,1010.04745268967,173.9921006397989,253.9659913002466,1.0
Llama2-13B,20,4,5,32,32,3712,0.0696725,0.0085462119402204,0.01827525,0.0964939619402204,0.0189515,4.028709977608817,992.8736548998602,174.46472347607337,250.4068656587223,1.0
Llama2-13B,20,4,5,32,32,3840,0.0707925,0.0085462119402204,0.01882525,0.0981639619402204,0.0189515,4.095509977608817,976.6793444208428,174.93685719819678,247.1121336274277,1.0
Llama2-13B,20,4,5,32,32,3968,0.071875,0.0085462119402204,0.01937525,0.0997964619402204,0.0189515,4.1608099776088165,961.3512805260978,175.40859515081948,244.04674107940104,1.0
Llama2-13B,20,4,5,32,32,4096,0.07299,0.0085462119402204,0.01992525,0.1014614619402204,0.0189515,4.227409977608818,946.205837897594,175.88068308229282,240.9654515444484,1.0
Llama2-13B,20,5,4,32,32,128,0.0370305,0.0083929428536551,0.00287525,0.0482986928536551,0.024332,2.106279714146205,2373.853750961459,158.81512509108265,536.0956680678179,1.0
Llama2-13B,20,5,4,32,32,256,0.0381505,0.0083929428536551,0.00342525,0.0499686928536551,0.024332,2.173079714146205,2300.882000531896,159.28624524447036,521.9009097012829,1.0
Llama2-13B,20,5,4,32,32,384,0.039233,0.0083929428536551,0.00397525,0.0516011928536551,0.024332,2.238379714146205,2233.758628351031,159.75696962835718,509.0006169180192,1.0
Llama2-13B,20,5,4,32,32,512,0.040348,0.0083929428536551,0.00452525,0.0532661928536551,0.024332,2.304979714146205,2169.216487812808,160.22804399109472,496.3940095887489,1.0
Llama2-13B,20,5,4,32,32,640,0.0415105,0.0083929428536551,0.00507525,0.0549786928536551,0.024332,2.373479714146205,2106.6116428968994,160.6996532586333,483.9126644422296,1.0
Llama2-13B,20,5,4,32,32,768,0.0426305,0.0083929428536551,0.00562525,0.0566486928536551,0.024332,2.440279714146205,2048.9454430224523,161.17077341202102,472.5805861179818,1.0
Llama2-13B,20,5,4,32,32,896,0.043713,0.0083929428536551,0.00617525,0.0582811928536551,0.024332,2.5055797141462053,1995.5461691242929,161.64149779590787,462.2237600825494,1.0
Llama2-13B,20,5,4,32,32,1024,0.044828,0.0083929428536551,0.00672525,0.0599461928536551,0.024332,2.572179714146205,1943.8766165915715,162.11257215864543,452.040499683918,1.0
Llama2-13B,20,5,4,32,32,1152,0.0473805,0.0083929428536551,0.00727525,0.0630486928536551,0.024332,2.696279714146205,1854.4070089491008,163.8958308054591,432.3926267279238,1.0
Llama2-13B,20,5,4,32,32,1280,0.0485005,0.0083929428536551,0.00782525,0.0647186928536551,0.024332,2.7630797141462056,1809.5750095089115,164.3669509588468,423.6217950300686,1.0
Llama2-13B,20,5,4,32,32,1408,0.049583,0.0083929428536551,0.0083752499999999,0.0663511928536551,0.024332,2.8283797141462053,1767.7965850880582,164.83767534273363,415.55995840997326,1.0
Llama2-13B,20,5,4,32,32,1536,0.050698,0.0083929428536551,0.00892525,0.0680161928536551,0.024332,2.894979714146205,1727.12781908892,165.30874970547114,407.5820291369265,1.0
Llama2-13B,20,5,4,32,32,1664,0.0518605,0.0083929428536551,0.00947525,0.0697286928536551,0.024332,2.963479714146205,1687.2057453717136,165.78035897300973,399.5824350252353,1.0
Llama2-13B,20,5,4,32,32,1792,0.0529805,0.0083929428536551,0.01002525,0.0713986928536551,0.024332,3.030279714146205,1650.0126957450766,166.25147912639738,392.24686235123625,1.0
Llama2-13B,20,5,4,32,32,1920,0.054063,0.0083929428536551,0.0105752499999999,0.0730311928536551,0.024332,3.0955797141462047,1615.2063463754334,166.72220351028432,385.4812984626368,1.0
Llama2-13B,20,5,4,32,32,2048,0.055178,0.0083929428536551,0.01112525,0.0746961928536551,0.024332,3.1621797141462054,1581.1878046121772,167.19327787302188,378.75892084033,1.0
Llama2-13B,20,5,4,32,32,2176,0.0599585,0.0083929428536551,0.0116752499999999,0.0800266928536551,0.024332,3.375399714146205,1481.3060447463868,170.7068058576114,355.8853328919405,1.0
Llama2-13B,20,5,4,32,32,2304,0.0610785,0.0083929428536551,0.01222525,0.0816966928536551,0.024332,3.442199714146205,1452.559530306099,171.17792601099902,350.3236122592217,1.0
Llama2-13B,20,5,4,32,32,2432,0.062161,0.0083929428536551,0.0127752499999999,0.0833291928536551,0.024332,3.507499714146205,1425.5168659984051,171.64865039488595,345.1695001586321,1.0
Llama2-13B,20,5,4,32,32,2560,0.063276,0.0083929428536551,0.01332525,0.0849941928536551,0.024332,3.5740997141462048,1398.953694607376,172.11972475762343,340.01778865135174,1.0
Llama2-13B,20,5,4,32,32,2688,0.0644385,0.0083929428536551,0.0138752499999999,0.0867066928536551,0.024332,3.642599714146205,1372.6460199791563,172.59133402516196,334.79855603630205,1.0
Llama2-13B,20,5,4,32,32,2816,0.0655585,0.0083929428536551,0.01442525,0.0883766928536551,0.024332,3.709399714146205,1347.926992319525,173.06245417854967,329.9771467058995,1.0
Llama2-13B,20,5,4,32,32,2944,0.066641,0.0083929428536551,0.0149752499999999,0.0900091928536551,0.024332,3.774699714146205,1324.608678476281,173.53317856243646,325.5000273150847,1.0
Llama2-13B,20,5,4,32,32,3072,0.067756,0.0083929428536551,0.01552525,0.0916741928536551,0.024332,3.841299714146205,1301.6427699163112,174.00425292517406,321.01262789489886,1.0
Llama2-13B,20,5,4,32,32,3200,0.0702765,0.0083929428536551,0.01607525,0.0947446928536551,0.024332,3.9641197141462055,1261.3140774122417,175.70642539044653,312.52699229195827,1.0
Llama2-13B,20,5,4,32,32,3328,0.0713965,0.0083929428536551,0.0166252499999999,0.0964146928536551,0.024332,4.030919714146205,1240.4117061555162,176.17754554383407,308.44919839178766,1.0
Llama2-13B,20,5,4,32,32,3456,0.072479,0.0083929428536551,0.01717525,0.0980471928536551,0.024332,4.096219714146206,1220.637648594046,176.64826992772106,304.6542273067389,1.0
Llama2-13B,20,5,4,32,32,3584,0.073594,0.0083929428536551,0.01772525,0.0997121928536551,0.024332,4.162819714146206,1201.108946181086,177.11934429045863,300.8386286423801,1.0
Llama2-13B,20,5,4,32,32,3712,0.0747565,0.0083929428536551,0.01827525,0.1014246928536551,0.024332,4.231319714146205,1181.6644304338272,177.59095355799715,296.94901707208925,1.0
Llama2-13B,20,5,4,32,32,3840,0.0758765,0.0083929428536551,0.01882525,0.1030946928536551,0.024332,4.298119714146206,1163.299380318265,178.0620737113848,293.3419334566446,1.0
Llama2-13B,20,5,4,32,32,3968,0.076959,0.0083929428536551,0.01937525,0.1047271928536551,0.024332,4.363419714146206,1145.890225455507,178.53279809527166,289.9803760691923,1.0
Llama2-13B,20,5,4,32,32,4096,0.078074,0.0083929428536551,0.01992525,0.1063921928536551,0.024332,4.430019714146206,1128.6631488419112,179.00387245800923,286.59328402862866,1.0
Llama2-13B,20,10,2,32,32,128,0.0531435,0.0074477834865025,0.00287525,0.0634665334865025,0.040868,2.7295293394601003,3663.635285187297,134.63063625715705,633.3353855935205,1.0
Llama2-13B,20,10,2,32,32,256,0.0542635,0.0074477834865025,0.00342525,0.0651365334865025,0.040868,2.7963293394601005,3576.1166822827613,135.09972927307317,622.4245085235613,1.0
Llama2-13B,20,10,2,32,32,384,0.055346,0.0074477834865025,0.00397525,0.0667690334865025,0.040868,2.8616293394601007,3494.512675735525,135.5684265194884,612.3677705682812,1.0
Llama2-13B,20,10,2,32,32,512,0.056461,0.0074477834865025,0.00452525,0.0684340334865025,0.040868,2.9282293394601,3415.0330594815287,136.0374737447543,602.3515069904639,1.0
